event,time
mouse_move,2026-04-11 16:21:12.710435
mouse_move,2026-04-11 16:21:12.717843
mouse_move,2026-04-11 16:21:12.724975
mouse_move,2026-04-11 16:21:12.731612
mouse_move,2026-04-11 16:21:12.738661
mouse_move,2026-04-11 16:21:12.745567
mouse_move,2026-04-11 16:21:12.752420
mouse_move,2026-04-11 16:21:12.759182
mouse_move,2026-04-11 16:21:12.766555
mouse_move,2026-04-11 16:21:12.773308
mouse_move,2026-04-11 16:21:12.780024
mouse_move,2026-04-11 16:21:12.787053
mouse_move,2026-04-11 16:21:12.794397
mouse_move,2026-04-11 16:21:12.802246
mouse_move,2026-04-11 16:21:12.808511
mouse_move,2026-04-11 16:21:12.815837
mouse_move,2026-04-11 16:21:12.822493
mouse_move,2026-04-11 16:21:12.829909
mouse_move,2026-04-11 16:21:12.836517
mouse_move,2026-04-11 16:21:12.843156
mouse_move,2026-04-11 16:21:12.850649
mouse_move,2026-04-11 16:21:12.857953
mouse_move,2026-04-11 16:21:12.864461
mouse_move,2026-04-11 16:21:12.871966
mouse_move,2026-04-11 16:21:12.878809
mouse_move,2026-04-11 16:21:12.885729
mouse_move,2026-04-11 16:21:12.892732
mouse_move,2026-04-11 16:21:12.900172
mouse_move,2026-04-11 16:21:12.906408
mouse_move,2026-04-11 16:21:12.913785
mouse_move,2026-04-11 16:21:12.920858
mouse_move,2026-04-11 16:21:12.927951
mouse_move,2026-04-11 16:21:12.935349
mouse_move,2026-04-11 16:21:12.942531
mouse_move,2026-04-11 16:21:12.949507
mouse_move,2026-04-11 16:21:12.956671
mouse_move,2026-04-11 16:21:12.963218
mouse_move,2026-04-11 16:21:12.970604
mouse_move,2026-04-11 16:21:12.976571
mouse_move,2026-04-11 16:21:12.984372
mouse_move,2026-04-11 16:21:12.991406
mouse_move,2026-04-11 16:21:12.997729
mouse_move,2026-04-11 16:21:13.005378
mouse_move,2026-04-11 16:21:13.012499
mouse_move,2026-04-11 16:21:13.019060
mouse_move,2026-04-11 16:21:13.026311
mouse_move,2026-04-11 16:21:13.033077
mouse_move,2026-04-11 16:21:13.040726
mouse_move,2026-04-11 16:21:13.047422
mouse_move,2026-04-11 16:21:13.054704
mouse_move,2026-04-11 16:21:13.061432
mouse_move,2026-04-11 16:21:13.068959
mouse_move,2026-04-11 16:21:13.075523
mouse_move,2026-04-11 16:21:13.082430
mouse_move,2026-04-11 16:21:13.089524
mouse_move,2026-04-11 16:21:13.096426
mouse_move,2026-04-11 16:21:13.103415
mouse_move,2026-04-11 16:21:13.110534
mouse_move,2026-04-11 16:21:13.117307
mouse_move,2026-04-11 16:21:13.125190
mouse_move,2026-04-11 16:21:13.132029
mouse_move,2026-04-11 16:21:13.139376
mouse_move,2026-04-11 16:21:13.145819
mouse_move,2026-04-11 16:21:13.153204
mouse_move,2026-04-11 16:21:13.159309
mouse_move,2026-04-11 16:21:13.167213
mouse_move,2026-04-11 16:21:13.174054
mouse_move,2026-04-11 16:21:13.181262
mouse_move,2026-04-11 16:21:13.188023
mouse_move,2026-04-11 16:21:13.194789
mouse_move,2026-04-11 16:21:13.201786
mouse_move,2026-04-11 16:21:13.209149
mouse_move,2026-04-11 16:21:13.215904
mouse_move,2026-04-11 16:21:13.228181
mouse_move,2026-04-11 16:21:13.624031
mouse_move,2026-04-11 16:21:13.630949
mouse_move,2026-04-11 16:21:13.637412
mouse_move,2026-04-11 16:21:13.644532
mouse_move,2026-04-11 16:21:13.651841
mouse_move,2026-04-11 16:21:13.658922
mouse_move,2026-04-11 16:21:13.665383
mouse_move,2026-04-11 16:21:13.672502
mouse_move,2026-04-11 16:21:13.679810
mouse_move,2026-04-11 16:21:13.686953
mouse_move,2026-04-11 16:21:13.693268
mouse_move,2026-04-11 16:21:13.701113
mouse_move,2026-04-11 16:21:13.707733
mouse_move,2026-04-11 16:21:13.714791
mouse_move,2026-04-11 16:21:13.721717
mouse_move,2026-04-11 16:21:13.728973
mouse_move,2026-04-11 16:21:13.735852
mouse_move,2026-04-11 16:21:13.742955
mouse_move,2026-04-11 16:21:13.749954
mouse_move,2026-04-11 16:21:13.757026
mouse_move,2026-04-11 16:21:13.763546
mouse_move,2026-04-11 16:21:13.771011
mouse_move,2026-04-11 16:21:13.777891
mouse_move,2026-04-11 16:21:13.784792
mouse_move,2026-04-11 16:21:13.792191
mouse_move,2026-04-11 16:21:13.799062
mouse_move,2026-04-11 16:21:13.805968
mouse_move,2026-04-11 16:21:13.812974
mouse_move,2026-04-11 16:21:13.819954
mouse_move,2026-04-11 16:21:13.826938
mouse_move,2026-04-11 16:21:13.833983
mouse_move,2026-04-11 16:21:13.841266
mouse_move,2026-04-11 16:21:13.847910
mouse_move,2026-04-11 16:21:13.855404
mouse_move,2026-04-11 16:21:13.861735
mouse_move,2026-04-11 16:21:13.869137
mouse_move,2026-04-11 16:21:13.876093
mouse_move,2026-04-11 16:21:13.883668
mouse_move,2026-04-11 16:21:13.890334
mouse_move,2026-04-11 16:21:13.897047
mouse_move,2026-04-11 16:21:13.904210
mouse_move,2026-04-11 16:21:13.911728
mouse_move,2026-04-11 16:21:13.917907
mouse_move,2026-04-11 16:21:13.925203
mouse_move,2026-04-11 16:21:13.932437
mouse_move,2026-04-11 16:21:13.939417
mouse_move,2026-04-11 16:21:13.946445
mouse_move,2026-04-11 16:21:13.953588
mouse_move,2026-04-11 16:21:13.960657
mouse_move,2026-04-11 16:21:13.967706
mouse_move,2026-04-11 16:21:13.974287
mouse_move,2026-04-11 16:21:13.981809
mouse_move,2026-04-11 16:21:13.988441
mouse_move,2026-04-11 16:21:13.995815
mouse_move,2026-04-11 16:21:14.002806
mouse_move,2026-04-11 16:21:14.009867
mouse_move,2026-04-11 16:21:14.016671
mouse_move,2026-04-11 16:21:14.024032
mouse_move,2026-04-11 16:21:14.030842
mouse_move,2026-04-11 16:21:14.037994
mouse_move,2026-04-11 16:21:14.044660
mouse_move,2026-04-11 16:21:14.052185
mouse_move,2026-04-11 16:21:14.058820
mouse_move,2026-04-11 16:21:14.066269
mouse_move,2026-04-11 16:21:14.073290
mouse_move,2026-04-11 16:21:14.080285
mouse_move,2026-04-11 16:21:14.087601
mouse_move,2026-04-11 16:21:14.094468
mouse_move,2026-04-11 16:21:14.101156
mouse_move,2026-04-11 16:21:14.108528
mouse_move,2026-04-11 16:21:14.115025
mouse_move,2026-04-11 16:21:14.122685
mouse_move,2026-04-11 16:21:14.129625
mouse_move,2026-04-11 16:21:14.137398
mouse_move,2026-04-11 16:21:14.143327
mouse_move,2026-04-11 16:21:14.150847
mouse_move,2026-04-11 16:21:14.157724
mouse_move,2026-04-11 16:21:14.164587
mouse_move,2026-04-11 16:21:14.171804
mouse_move,2026-04-11 16:21:14.179099
mouse_move,2026-04-11 16:21:14.185852
mouse_move,2026-04-11 16:21:14.193147
mouse_move,2026-04-11 16:21:14.200055
mouse_move,2026-04-11 16:21:14.207387
mouse_move,2026-04-11 16:21:14.213499
mouse_move,2026-04-11 16:21:14.221254
mouse_move,2026-04-11 16:21:14.228562
mouse_move,2026-04-11 16:21:14.235489
mouse_move,2026-04-11 16:21:14.241760
mouse_move,2026-04-11 16:21:14.249575
mouse_move,2026-04-11 16:21:14.263775
mouse_move,2026-04-11 16:21:14.270410
mouse_move,2026-04-11 16:21:14.277463
mouse_move,2026-04-11 16:21:14.283822
mouse_move,2026-04-11 16:21:14.291511
mouse_move,2026-04-11 16:21:14.320159
mouse_move,2026-04-11 16:21:14.333332
mouse_move,2026-04-11 16:21:14.340294
mouse_move,2026-04-11 16:21:14.347609
mouse_move,2026-04-11 16:21:14.354156
mouse_move,2026-04-11 16:21:14.360957
mouse_move,2026-04-11 16:21:14.368676
mouse_move,2026-04-11 16:21:14.375667
mouse_move,2026-04-11 16:21:14.382815
mouse_move,2026-04-11 16:21:14.389874
mouse_move,2026-04-11 16:21:14.396152
mouse_move,2026-04-11 16:21:14.403944
mouse_move,2026-04-11 16:21:14.409965
mouse_move,2026-04-11 16:21:14.417972
mouse_move,2026-04-11 16:21:14.424996
mouse_move,2026-04-11 16:21:14.432029
mouse_move,2026-04-11 16:21:14.438814
mouse_move,2026-04-11 16:21:14.445644
mouse_move,2026-04-11 16:21:14.452787
mouse_move,2026-04-11 16:21:14.459470
mouse_move,2026-04-11 16:21:14.466452
mouse_move,2026-04-11 16:21:14.473967
mouse_move,2026-04-11 16:21:14.480587
mouse_move,2026-04-11 16:21:14.487944
mouse_move,2026-04-11 16:21:14.494776
mouse_move,2026-04-11 16:21:14.502452
mouse_move,2026-04-11 16:21:14.508153
mouse_move,2026-04-11 16:21:14.515935
mouse_move,2026-04-11 16:21:14.522249
mouse_move,2026-04-11 16:21:14.529925
mouse_move,2026-04-11 16:21:14.536375
mouse_move,2026-04-11 16:21:14.543627
mouse_move,2026-04-11 16:21:14.550778
mouse_move,2026-04-11 16:21:14.558424
mouse_move,2026-04-11 16:21:14.565191
mouse_move,2026-04-11 16:21:14.572499
mouse_move,2026-04-11 16:21:14.579500
mouse_move,2026-04-11 16:21:14.586982
mouse_move,2026-04-11 16:21:14.593192
mouse_move,2026-04-11 16:21:14.600941
mouse_move,2026-04-11 16:21:14.607430
mouse_move,2026-04-11 16:21:14.614961
mouse_move,2026-04-11 16:21:14.628535
mouse_move,2026-04-11 16:21:14.635593
mouse_move,2026-04-11 16:21:14.642859
mouse_move,2026-04-11 16:21:14.650395
mouse_move,2026-04-11 16:21:14.656593
mouse_move,2026-04-11 16:21:14.663923
mouse_move,2026-04-11 16:21:14.671182
mouse_move,2026-04-11 16:21:14.677485
mouse_move,2026-04-11 16:21:14.685397
mouse_move,2026-04-11 16:21:14.691920
mouse_move,2026-04-11 16:21:14.699285
mouse_move,2026-04-11 16:21:14.706012
mouse_move,2026-04-11 16:21:14.713155
mouse_move,2026-04-11 16:21:14.719820
mouse_move,2026-04-11 16:21:14.726724
mouse_move,2026-04-11 16:21:14.734253
mouse_move,2026-04-11 16:21:14.741483
mouse_move,2026-04-11 16:21:14.755739
mouse_move,2026-04-11 16:21:14.762459
mouse_move,2026-04-11 16:21:14.769207
mouse_move,2026-04-11 16:21:14.783704
mouse_move,2026-04-11 16:21:14.797795
mouse_move,2026-04-11 16:21:14.804398
key_press,2026-04-11 16:21:15.664498
key_press,2026-04-11 16:21:16.187858
key_press,2026-04-11 16:21:16.374445
key_press,2026-04-11 16:21:16.651064
key_press,2026-04-11 16:21:17.020839
key_press,2026-04-11 16:21:17.867375
key_press,2026-04-11 16:21:18.789425
